POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	3	+	33
1	4	-	45
2	6	-	35
3	7	-	53
4	103	-	35
5	8	-	35
6	9	-	41
7	10	+	37
8	39	-	51
9	2	-	51
10	13	+	57
11	19	-	61
12	102	-	33
13	19	-	63
14	20	+	31
15	21	+	45
16	22	+	43
17	24	-	37
18	25	-	35
19	26	+	45
20	28	-	49
21	29	+	39
22	30	+	63
23	30	+	65
24	30	+	67
25	30	+	76
26	31	-	33
27	32	-	35
28	33	-	35
29	34	+	45
30	134	+	1
31	35	+	47
32	36	+	61
33	36	+	63
34	99	-	55
35	37	-	73
36	37	-	75
37	125	+	3
38	38	-	39
39	39	-	53
40	40	+	39
41	41	+	37
42	42	-	33
43	43	+	43
44	45	+	31
45	14	-	79
46	46	+	41
47	85	-	41
48	36	+	73
49	47	-	33
50	48	+	61
51	48	+	63
52	48	+	65
53	101	-	33
54	49	+	37
55	89	+	71
56	50	+	43
57	51	-	33
58	52	-	35
59	71	+	39
60	55	+	33
61	56	-	63
62	57	+	45
63	56	-	65
64	58	+	35
65	59	+	43
66	58	+	41
67	60	-	31
68	61	+	37
69	62	-	37
70	63	-	33
71	64	-	33
72	65	-	33
73	66	-	35
74	67	-	37
75	68	-	27
76	69	+	63
77	69	+	65
78	70	-	39
79	14	-	81
80	15	+	43
81	16	-	43
82	17	-	45
83	109	+	29
84	109	+	31
85	18	+	47
86	71	+	41
87	105	-	19
88	72	+	45
89	73	+	33
90	74	-	37
91	75	-	37
92	77	-	43
93	78	-	35
94	80	+	35
95	82	+	37
96	83	+	43
97	13	+	59
98	84	+	41
99	85	-	43
100	86	+	35
101	100	+	59
102	87	+	48
103	87	+	49
104	88	+	39
105	88	+	41
106	89	+	73
107	90	-	45
108	91	-	29
109	92	+	32
110	93	+	39
111	107	+	22
112	94	-	33
113	95	+	35
114	96	+	41
115	97	+	53
116	11	-	49
117	98	-	33
118	99	-	51
119	110	-	17
120	100	+	61
